date,gas_nominal,cpi,source_flag,gas_real,gas_real_12mo
1982-07-01,1.318,97.5,official,4.463770822071794,4.385538661221006
1982-08-01,1.31,97.7,official,4.427594368884339,4.357512493641539
1982-09-01,1.292,97.7,official,4.3667571943500505,4.348404405561549
1982-10-01,1.28,98.1,official,4.308559122528033,4.3655240778425375
1982-11-01,1.268,98.0,official,4.272521652571428,4.3751816616895995
1982-12-01,1.244,97.7,official,4.20452472892528,4.340621314888487
1983-01-01,1.214,97.9,official,4.094747151133809,4.279117369732156
1983-02-01,1.17,98.0,official,3.942310988571428,4.198236806346672
1983-03-01,1.135,98.1,official,3.8204801594291538,4.107190633859855
1983-04-01,1.198,98.8,official,4.0039714116599185,4.056426015381836
1983-05-01,1.243,99.2,official,4.137619509596774,4.03394232488606
1983-06-01,1.261,99.4,official,4.189091019154929,4.031370039924336
1983-07-01,1.272,99.8,official,4.20869704016032,4.05036168809542
1983-08-01,1.269,100.1,official,4.186187139020978,4.091007713170345
1983-09-01,1.257,100.4,official,4.134211201673306,4.143296220211037
1983-10-01,1.239,100.8,official,4.058839411666667,4.152440886878829
1983-11-01,1.224,101.1,official,3.9978026976854593,4.12913808489361
1983-12-01,1.215,101.4,official,3.9566662402366855,4.090400621740569
1984-01-01,1.2,102.1,official,3.881026413320274,4.035788850600562
1984-02-01,1.193,102.6,official,3.8395840365692004,3.9780216668585986
1984-03-01,1.194,102.9,official,3.831598958367346,3.927586292974272
1984-04-01,1.211,103.3,official,3.8711046863891574,3.896297172094687
1984-05-01,1.221,103.5,official,3.8955287028405796,3.8792515062872073
1984-06-01,1.214,103.7,official,3.8657256132690447,3.8640947351259336
1984-07-01,1.197,104.1,official,3.796946828126801,3.8500814709270217
1984-08-01,1.184,104.4,official,3.7449178752490413,3.834303777373662
1984-09-01,1.189,104.7,official,3.749956824221585,3.820696755016035
1984-10-01,1.195,105.1,official,3.7545360940057084,3.80126865628546
1984-11-01,1.193,105.3,official,3.741133163836657,3.775536066451473
1984-12-01,1.179,105.5,official,3.690221543658767,3.746285388183093
1985-01-01,1.145,105.7,official,3.5770218569536416,3.7096312263208997
1985-02-01,1.128,106.3,official,3.5040228503480706,3.6694820555040715
1985-03-01,1.155,106.8,official,3.571098473033708,3.6396723303060923
1985-04-01,1.199,107.0,official,3.7002110853831773,3.630618162202337
1985-05-01,1.223,107.2,official,3.7672354670895523,3.6349685460778196
1985-06-01,1.233,107.5,official,3.787439522902325,3.6511715426184126
1985-07-01,1.233,107.7,official,3.7804062090250694,3.6850689346303174
1985-08-01,1.222,107.9,official,3.739735230843373,3.724354331379534
1985-09-01,1.209,108.1,official,3.693105391082331,3.7446888177209714
1985-10-01,1.198,108.5,official,3.6460126771612895,3.7356557496839904
