date,gas_nominal,cpi,gas_real,gas_real_12mo
1986-06-01,0.955,109.4,2.883270703839122,3.0514907112917657
1986-07-01,0.89,109.5,2.6845732420091326,2.9008458178989898
1986-08-01,0.843,109.6,2.5404835675182484,2.762229724548567
1986-09-01,0.86,110.0,2.5822907272727273,2.697626127459436
1986-10-01,0.831,110.2,2.490684963702359,2.6630313276349136
1986-11-01,0.821,110.4,2.456255009057971,2.60625970223326
1986-12-01,0.823,110.8,2.453349629963899,2.534606189920723
1987-01-01,0.862,111.4,2.555768096947935,2.5131386657438566
1987-02-01,0.905,111.8,2.6736597942754923,2.5353347035367304
1987-03-01,0.912,112.2,2.6847345454545457,2.5524086732337
1987-04-01,0.934,112.7,2.737299574090506,2.5935111082983915
1987-05-01,0.941,113.0,2.75049303539823,2.6425507793551013
1987-06-01,0.958,113.5,2.7878475242290746,2.6983004283992975
1987-07-01,0.971,113.8,2.8182293760984183,2.742043974924378
1987-08-01,0.995,114.3,2.875254024496938,2.775643013294619
1987-09-01,0.99,114.7,2.850828857890148,2.8033253987005526
1987-10-01,0.976,115.0,2.8031823304347827,2.814305858091265
1987-11-01,0.976,115.4,2.7934659272097053,2.8214680067265108
1987-12-01,0.961,115.6,2.7457748529411767,2.8144558948451945
1988-01-01,0.933,116.0,2.6565807672413797,2.787514460035688
1988-02-01,0.913,116.2,2.595159285714286,2.740832003571913
1988-03-01,0.904,116.5,2.5629602746781117,2.6928539063699066
1988-04-01,0.93,117.2,2.6209256825938567,2.6624777983964196
1988-05-01,0.955,117.5,2.684509063829787,2.6443183211664327
1988-06-01,0.955,118.0,2.6731340254237286,2.632211516580192
1988-07-01,0.967,118.5,2.695302371308017,2.6386651172579647
1988-08-01,0.987,119.0,2.7394890000000003,2.6627200696389166
1988-09-01,0.974,119.5,2.6920952468619244,2.684242565002885
1988-10-01,0.957,119.9,2.636283577981651,2.6868022142341847
1988-11-01,0.949,120.3,2.6055532585203656,2.673642913349281
1988-12-01,0.93,120.7,2.5449253521126765,2.6522748011307726
1989-01-01,0.918,121.2,2.501724207920792,2.6200117738995683
1989-02-01,0.926,121.6,2.5152246546052632,2.5826343830004457
1989-03-01,0.94,122.2,2.5407153846153845,2.5574044059593555
1989-04-01,1.065,123.1,2.8575308285946384,2.5942789477281867
1989-05-01,1.119,123.7,2.9878566451091353,2.657996178826315
1989-06-01,1.114,124.1,2.9649186301369865,2.7279950584970334
1989-07-01,1.092,124.5,2.8970277590361446,2.793878983682925
1989-08-01,1.057,124.5,2.8041743052208834,2.842037258785529
1989-09-01,1.029,124.8,2.7233293028846153,2.8724729118304
1989-10-01,1.027,125.4,2.7050311881977667,2.847056305097589
1989-11-01,0.999,125.9,2.6208316679904686,2.7858854755778104
1989-12-01,0.98,126.3,2.5628435471100555,2.7188729617399887
1990-01-01,1.042,127.5,2.6993357333333337,2.6859242907895204
1990-02-01,1.037,128.0,2.6758893828124997,2.6645434703881232
1990-03-01,1.023,128.6,2.627447426127527,2.6485631575952753
1990-04-01,1.044,128.9,2.6751426842513575,2.6435817402708737
1990-05-01,1.061,129.1,2.7144916576297446,2.659191738544086
1990-06-01,1.088,129.9,2.7664263587374904,2.6931222071486585
1990-07-01,1.084,130.5,2.7435832337164756,2.700496790545849
1990-08-01,1.19,131.6,2.9866920212765957,2.7522972302898654
1990-09-01,1.294,132.5,3.2256539018867922,2.8519983095830757
1990-10-01,1.378,133.4,3.4118722188905544,2.9747865653562755
1990-11-01,1.377,133.7,3.4017461555721766,3.0893289816800142
1990-12-01,1.354,134.2,3.332464396423249,3.1836686546276405
1991-01-01,1.247,134.7,3.057723615441723,3.2360253849151817
1991-02-01,1.143,134.8,2.800629814540059,3.2050150171257594
1991-03-01,1.082,134.8,2.651164881305638,3.1092668470289
1991-04-01,1.104,135.1,2.6990634492968173,2.990465385429944
1991-05-01,1.156,135.6,2.8157721828908553,2.892803056649724
1991-06-01,1.16,136.0,2.817205,2.806926490579182
1991-07-01,1.127,136.2,2.733041196769457,2.7528127541338043
1991-08-01,1.14,136.6,2.756471595900439,2.745453051027201
1991-09-01,1.143,137.0,2.7556561970802917,2.762868270322977
1991-10-01,1.122,137.2,2.701084154518951,2.7632050545266655
1991-11-01,1.134,137.8,2.718086081277213,2.7469240375910586
1991-12-01,1.123,138.2,2.683929370477569,2.7247114326706536
1992-01-01,1.073,138.3,2.5625769269703538,2.696300721037469
1992-02-01,1.054,138.6,2.511751962481963,2.6555141154677235
1992-03-01,1.058,139.1,2.5122213803019413,2.6149416460046653
1992-04-01,1.079,139.4,2.5565720731707313,2.590856299113295
1992-05-01,1.136,139.7,2.6858471581961347,2.5854831452664486
1992-06-01,1.179,140.1,2.7795535117773023,2.601420502149738
1992-07-01,1.174,140.5,2.759885992882562,2.634305346468439
1992-08-01,1.158,140.8,2.716472258522727,2.668425395808566
1992-09-01,1.158,141.1,2.7106966265060244,2.7015046035092465
1992-10-01,1.154,141.7,2.689895003528582,2.7237250919022222
1992-11-01,1.159,142.1,2.6939450175932445,2.725074735135074
1992-12-01,1.136,142.3,2.6367733520730847,2.701278041851037
1993-01-01,1.117,142.8,2.5835944047619046,2.671896110497594
1993-02-01,1.108,143.1,2.5574049196366184,2.6453848873499095
1993-03-01,1.098,143.3,2.5307865596650387,2.6153998762097452
1993-04-01,1.112,143.8,2.5541433657858135,2.5927746032526175
1993-05-01,1.129,144.2,2.585997205270458,2.5747833011988197
1993-06-01,1.13,144.3,2.5864940401940397,2.5664034158856457
1993-07-01,1.109,144.5,2.5349130588235296,2.5582898582292493
1993-08-01,1.097,144.8,2.502288819060773,2.5491038414666085
1993-09-01,1.085,145.0,2.4715027931034483,2.5392232137063435
1993-10-01,1.127,145.6,2.556594855769231,2.5396317953702465
1993-11-01,1.113,146.0,2.5179185547945204,2.528285353624257
1993-12-01,1.07,146.3,2.4156767600820235,2.499815806938921
1994-01-01,1.043,146.3,2.3547204306220095,2.4697837022386677
1994-02-01,1.051,146.7,2.366311813224267,2.447120867932583
1994-03-01,1.045,147.1,2.346405064581917,2.426271246512328
1994-04-01,1.064,147.2,2.3874439673913046,2.398079431782674
1994-05-01,1.08,147.5,2.4184165423728814,2.381495763045734
1994-06-01,1.106,147.9,2.469939540229885,2.3905395597370442
1994-07-01,1.136,148.4,2.528388463611859,2.419484231902019
1994-08-01,1.182,149.0,2.6201766845637584,2.4617950437919345
1994-09-01,1.177,149.3,2.603850375083724,2.5047025955422355
1994-10-01,1.152,149.4,2.5468375903614455,2.5312681993705923
1994-11-01,1.163,149.8,2.5642907810413886,2.55558057248201
1994-12-01,1.143,150.1,2.5151558894070623,2.563116630678206
1995-01-01,1.129,150.5,2.4777461594684387,2.554676246654303
1995-02-01,1.12,150.9,2.4514788601723,2.52655994258906
1995-03-01,1.115,151.2,2.4356924272486777,2.4985336179498856
1995-04-01,1.14,151.8,2.480461264822134,2.487470897026667
1995-05-01,1.2,152.1,2.6058619329388564,2.494399422342912
1995-06-01,1.226,152.4,2.6570814829396325,2.518053687931673
1995-07-01,1.195,152.6,2.586501539973788,2.5361795846825648
1995-08-01,1.164,152.9,2.514460771746239,2.546676569944888
1995-09-01,1.148,153.1,2.476658158066623,2.5535041917478787
1995-10-01,1.127,153.5,2.425017661237785,2.5442635911504876
1995-11-01,1.101,153.7,2.365989544567339,2.5042848597552343
1995-12-01,1.101,153.9,2.362914834307992,2.4552570849832946
1996-01-01,1.129,154.7,2.4104770329670333,2.4259196671488352
1996-02-01,1.124,155.0,2.3951569806451616,2.406035701965322
1996-03-01,1.162,155.5,2.468170199356913,2.404621042180371
1996-04-01,1.251,156.1,2.646998994234465,2.4416179310131505
1996-05-01,1.323,156.4,2.7939746739130435,2.5129487859041015
1996-06-01,1.299,156.7,2.7380383343969372,2.575469369252259
1996-07-01,1.272,157.0,2.6760044331210193,2.61972393594459
1996-08-01,1.24,157.2,2.6053646310432574,2.6547585443442725
1996-09-01,1.234,157.7,2.584537488902981,2.67415309260195
1996-10-01,1.227,158.2,2.5617541782553737,2.659945623272102
1996-11-01,1.25,158.7,2.6015516698172654,2.6278751225894723
1996-12-01,1.26,159.1,2.6157710873664364,2.607497248084389
1997-01-01,1.261,159.4,2.6129201568381424,2.5969832020372428
1997-02-01,1.255,159.7,2.5956024733876015,2.5953561757613
1997-03-01,1.235,159.8,2.552639893617021,2.5900399098803066
1997-04-01,1.231,159.9,2.5427810068792995,2.586877714650961
1997-05-01,1.226,159.9,2.5324528955597247,2.5753612522747042
1997-06-01,1.229,160.2,2.533895736579276,2.561715360476844
1997-07-01,1.205,160.4,2.4813158665835413,2.5397813121010775
1997-08-01,1.253,160.8,2.57373836442786,2.5361372939411204
1997-09-01,1.277,161.2,2.616527053349876,2.546785153896596
1997-10-01,1.242,161.5,2.540086105263158,2.5463360036272396
1997-11-01,1.213,161.7,2.4777081570810147,2.537211880547454
1997-12-01,1.177,161.8,2.402687645241038,2.515343865324415
1998-01-01,1.131,162.0,2.305934462962963,2.4861136313876515
1998-02-01,1.082,162.0,2.206031024691358,2.4248290747649013
1998-03-01,1.041,162.0,2.122438351851852,2.3424809578485637
1998-04-01,1.052,162.2,2.1422209371146734,2.276170096490483
